model,publication_date,year,organization,domain,task,parameters,training_compute_flop,training_dataset_size_total,log10_parameters,log10_training_compute_flop,log10_training_dataset_size_total,parameters_provenance,training_compute_provenance,training_dataset_provenance,parameters_algorithm_imputed_flag,training_compute_algorithm_imputed_flag,training_dataset_algorithm_imputed_flag,reasoning_flag,tool_use_flag,agentic_flag,chat_flag,code_flag,multimodal_flag,historical_architecture_anchor,open_model_weights_code,foundation_model_flag,frontier_model_flag,imputed_any_flag
Harrison.rad.1,2024-09-05,2024,Harrison.ai,"Vision,Medicine,Language,Multimodal","Visual question answering,Medical diagnosis",113363574397,3.05730325091e+23,173378199322,11.0544735309,23.4853385181,11.2389944881,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Hunyuan Turbo,2024-09-05,2024,Tencent,Language,"Language modeling/generation,Question answering",242529379664,2.66981272751e+24,4.96990945592e+12,11.3847643559,24.4264807991,12.6963484766,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
DeepSeek-V2.5,2024-09-06,2024,DeepSeek,Language,"Language modeling/generation,Chat,Code generation",236000000000,1.7892e+24,1.48e+13,11.372912003,24.2526588895,13.1702617154,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,1,1,0,0,1,0,0,1
o1-mini,2024-09-12,2024,OpenAI,Language,"Code generation,Language modeling/generation,Quantitative reasoning,Chat,Question answering,Translation",218952049545,3.00781482143e+24,633087671654,11.3403490148,24.478251095,11.8014638564,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,1,1,0,0,0,0,0,1
o1-preview,2024-09-12,2024,OpenAI,"Language,Mathematics,Biology","Code generation,Language modeling/generation,Quantitative reasoning,Chat,Question answering,Translation",139642400438,3.02521073646e+24,761708605702,11.1450173057,24.480755633,11.8817888622,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,1,1,0,0,0,0,0,1
Qwen2.5-32B,2024-09-17,2024,Alibaba,Language,"Language modeling/generation,Question answering,Quantitative reasoning",32500000000,3.51e+24,1.8e+13,10.511883361,24.5453071165,13.2552725051,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Oryx 34B,2024-09-19,2024,"Tsinghua University,Tencent,Nanyang Technological University","Multimodal,Vision,3D modeling,Video,Language","Visual question answering,Video compression,Image captioning,Video description,Language modeling/generation",34000000000,2.72267882792e+23,774596669241,10.531478917,23.4349964142,11.8890756252,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,1,0,0,1
Qwen2.5 Instruct (72B),2024-09-19,2024,Alibaba,Language,"Code generation,Code autocompletion,Quantitative reasoning,Question answering,Language modeling/generation",72700000000,7.8516e+24,7e+12,10.8615344109,24.8949581663,12.84509804,strict_observed,epoch_source_estimate,mice_pmm,0,0,1,1,0,0,0,1,0,0,1,0,0,1
Qwen2.5-72B,2024-09-19,2024,Alibaba,Language,"Language modeling/generation,Question answering,Quantitative reasoning",72700000000,7.8e+24,1.8e+13,10.8615344109,24.8920946027,13.2552725051,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Telechat2-115B,2024-09-20,2024,China Telecom,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Chat,Text summarization,Code generation",115000000000,6.9e+24,1e+13,11.0606978404,24.8388490907,13,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,1,1,0,0,1,0,0,0
Llama 3.2 11B,2024-09-24,2024,Meta AI,"Multimodal,Vision,Language","Visual question answering,Image captioning,Object detection",10600000000,5.79e+23,668000000000,10.0253058653,23.7626785637,11.8247764625,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,0,0,1,0,1,0,0,1
Palmyra X 004,2024-10-09,2024,Writer,Language,"Language modeling,Language modeling/generation,Question answering,Code generation,Retrieval-augmented generation",150000000000,2.5889766318e+24,7.4e+12,11.1760912591,24.4131281305,12.8692317197,epoch_source_estimate,mice_pmm,mice_pmm,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Llama-3.1-Nemotron-70B-Instruct,2024-10-12,2024,"NVIDIA,Meta AI",Language,Language modeling,118404391810,7.929e+24,3.6e+12,11.0733678114,24.8992184179,12.5563025008,mice_pmm,strict_observed,mice_pmm,1,0,1,0,0,0,0,0,0,0,1,0,0,1
Yi-Lightning,2024-10-18,2024,01.AI,Language,Language modeling/generation,118404391810,1.5e+24,2e+12,11.0733678114,24.1760912591,12.3010299957,mice_pmm,strict_observed,mice_pmm,1,0,1,0,0,0,0,0,0,0,0,0,0,1
NVLM-D 72B,2024-10-22,2024,NVIDIA,"Vision,Language","Language modeling/generation,Vision-language generation,Question answering,Code generation,Translation,Quantitative reasoning",72000000000,3.02e+24,57016320000,10.8573324964,24.480006943,10.7559991832,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,1,0,1,0,0,0
NVLM-H 72B,2024-10-22,2024,NVIDIA,"Vision,Language","Language modeling/generation,Vision-language generation,Question answering,Code generation,Translation,Quantitative reasoning",72000000000,3.02e+24,125829120000,10.8573324964,24.480006943,11.0997811593,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,0,1,1,0,0,0,0,0
NVLM-X 72B,2024-10-22,2024,NVIDIA,"Vision,Language","Language modeling/generation,Vision-language generation,Question answering,Code generation,Translation,Quantitative reasoning",72000000000,3.0398181e+24,45875200000,10.8573324964,24.4828475966,10.6615779706,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Doubao-pro,2024-10-28,2024,ByteDance,Language,"Language modeling/generation,Question answering,Text summarization,Text classification",500000000000,2.505e+25,8.35e+12,11.6989700043,25.3988077302,12.9216864755,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hunyuan-Large,2024-11-06,2024,Tencent,Language,"Language modeling/generation,Question answering,Code generation,Translation",389000000000,3.49237e+24,7e+12,11.5899496013,24.5431202489,12.84509804,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Gemini-Exp-1114,2024-11-15,2024,Google DeepMind,Language,Language modeling,15987495113.4,3.0398181e+24,6.204836823e+12,10.2037804247,24.4828475966,12.7927303648,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,0,0,0,0,0,1
k0-math,2024-11-16,2024,Moonshot,"Mathematics,Language","Mathematical reasoning,Quantitative reasoning",827647267862,7.2764874768e+23,2e+12,11.9178452857,23.8619217862,12.3010299957,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,0,0,0,0,0,0,1
Pixtral Large,2024-11-18,2024,Mistral AI,"Multimodal,Language,Vision","Vision-language generation,Visual question answering,Mathematical reasoning,Character recognition (OCR),Language modeling/generation,Question answering",124000000000,2.36664826284e+24,600000000000,11.0934216852,24.3741337168,11.7781512504,strict_observed,mice_pmm,mice_pmm,0,1,1,1,0,0,0,0,1,0,1,0,0,1
GPT-4o (Nov 2024),2024-11-20,2024,OpenAI,"Multimodal,Language,Audio,Speech,Vision","Chat,Image generation,Audio generation,Vision-language generation,Table tasks,Language modeling/generation,Question answering,Speech recognition (ASR),Speech-to-text",671000000000,2.1e+25,1.48996644258e+13,11.8267225202,25.3222192947,13.1731764872,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,0,1,1
Amazon Nova Pro,2024-12-03,2024,Amazon,"Multimodal,Language,Video,Vision","Language modeling/generation,Retrieval-augmented generation,Visual question answering,Image captioning,Video description,Character recognition (OCR),Code generation,Translation",123498987850,6.00001e+24,4.44971909226e+12,11.0916633983,24.7781519742,12.6483325951,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,0,0,0,0,1,1,0,0,0,0,1
NVILA 15B,2024-12-05,2024,"NVIDIA,Massachusetts Institute of Technology (MIT),University of California (UC) Berkeley,University of California San Diego,University of Washington,Tsinghua University","Vision,Language,Multimodal,Video","Visual question answering,Video description,Language modeling/generation,Question answering,Character recognition (OCR)",15000000000,7.03037104284e+22,34000000000,10.1760912591,22.8469782464,10.531478917,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,1,0,0,1
o1,2024-12-05,2024,OpenAI,"Language,Mathematics,Multimodal","Code generation,Language modeling/generation,Quantitative reasoning,Chat,Question answering,Translation,Mathematical reasoning",202561101893,4.1251666633e+24,3.6e+12,11.3065560508,24.6154414994,12.5563025008,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,1,1,1,0,0,0,0,1
Llama 3.3 70B,2024-12-06,2024,Meta AI,Language,"Language modeling/generation,Question answering,Translation,Code generation",70000000000,6.8649768e+24,1.5e+13,10.84509804,24.8366390739,13.1760912591,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,1,0,0,1,0,0,0
EXAONE 3.5 32B,2024-12-09,2024,LG AI Research,Language,"Language modeling/generation,Question answering,Translation",32000000000,1.25e+24,6.5e+12,10.5051499783,24.096910013,12.8129133566,strict_observed,strict_observed,strict_observed,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gemini 2.0 Pro,2024-12-11,2024,Google DeepMind,"Language,Multimodal,Vision,Video,Audio","Code generation,Language modeling/generation,Question answering,Visual question answering,Speech recognition (ASR),Video description",11000000000,1.83068293268e+24,1.2e+13,10.0413926852,24.2626131327,13.079181246,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,1,1,0,0,0,0,1
Apollo 7B,2024-12-13,2024,"Meta AI,Stanford University","Multimodal,Video,Language","Video,Visual question answering,Video description,Language modeling/generation",7000000000,1.68e+22,39300000000,9.84509804001,22.2253092817,10.5943925504,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,0,0,0,1
o3,2024-12-20,2024,OpenAI,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Visual question answering,Search,Instruction interpretation,Visual puzzles",72000000000,2.85022806105e+24,452442284473,10.8573324964,24.4548796115,11.6555631866,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,1,0,0,0,0,1
DeepSeek-V3,2024-12-24,2024,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",671000000000,3.3e+24,1.48e+13,11.8267225202,24.5185139399,13.1702617154,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,0,0
DeepSeek-R1,2025-01-20,2025,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",671000000000,3.5e+24,1.48e+13,11.8267225202,24.5440680444,13.1702617154,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Doubao-1.5-pro,2025-01-22,2025,ByteDance,Language,Language generation,34000000000,2.48635073954e+24,9e+12,10.531478917,24.3955623928,12.9542425094,mice_pmm,mice_pmm,strict_observed,1,1,0,0,0,0,0,0,0,0,0,0,0,1
Kimi k1.5,2025-01-22,2025,Moonshot,"Multimodal,Language,Vision","Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Visual question answering,Translation,Image captioning,Visual puzzles",1.04e+12,2.71562792002e+24,1.48996644258e+13,12.0170333393,24.4338702651,13.1731764872,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,1,0,0,0,0,1
GPT-4o (Jan 2025),2025-01-29,2025,OpenAI,"Multimodal,Language,Audio,Speech,Vision","Chat,Image generation,Audio generation,Vision-language generation,Table tasks,Language modeling/generation,Question answering,Speech recognition (ASR),Speech-to-text",549909083395,2.1e+25,1.5e+13,11.7402908934,25.3222192947,13.1760912591,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,0,1,1
o3-mini,2025-01-31,2025,OpenAI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",72700000000,3.51e+24,335031398619,10.8615344109,24.5453071165,11.5250855103,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,0,0,0,0,0,1
Eurus-2-7B-PRIME,2025-02-03,2025,"Tsinghua University,University of Illinois Urbana-Champaign (UIUC),Shanghai AI Lab,Peking University,Shanghai Jiao Tong University,CUHK Shenzhen Research Institute","Mathematics,Language","Mathematical reasoning,Code generation",7000000000,4.01915904e+20,830000,9.84509804001,20.6041351918,5.91907809238,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Grok 3,2025-02-17,2025,xAI,"Language,Vision,Multimodal","Chat,Language modeling/generation,Question answering,Code generation,Visual question answering",3e+12,3.5e+26,1.48e+13,12.4771212547,26.5440680444,13.1702617154,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,0,0,0,1,1,1,0,0,0,1,1
Claude 3.7 Sonnet,2025-02-24,2025,Anthropic,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Translation,Instruction interpretation,Visual question answering",671000000000,3.35e+25,1.8574175621e+13,11.8267225202,25.525044807,13.2689095475,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,1,0,0,0,1,1,0,0,0,0,1
GPT-4.5,2025-02-27,2025,OpenAI,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Quantitative reasoning,Translation,Visual question answering,Code generation,Instruction interpretation",1.788854382e+12,3.8e+26,1.32e+13,12.2525749892,26.5797835966,13.1205739312,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,1,0,0,0,1,1,0,0,0,1,1
Mercury,2025-02-27,2025,Inception Labs,Language,Code generation,240305118547,4.752e+24,9.48683298051e+12,11.3807630215,24.676876432,12.9771212547,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,1,0,0,0,0,0,1
Mistral OCR,2025-03-06,2025,Mistral AI,"Multimodal,Vision,Language","Character recognition (OCR),Chat,Language generation",121983605456,3.75635928793e+24,1.29614813968e+13,11.0863014656,24.5747671249,13.1126546409,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,0,0,1
QwQ-32B,2025-03-06,2025,Alibaba,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",32500000000,3.51e+24,7.19722168618e+12,10.511883361,24.5453071165,12.8571648799,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,1,0,0,0,1,0,0,1,0,0,1
Hunyuan-TurboS,2025-03-11,2025,Tencent,Language,"Language modeling/generation,Quantitative reasoning,Question answering,Code generation,Text summarization",560000000000,5.4e+24,1.6e+13,11.748188027,24.7323937598,13.2041199827,strict_observed,epoch_source_estimate,strict_observed,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ERNIE-4.5-VL-424B-A47B (文心大模型4.5),2025-03-16,2025,Baidu,"Multimodal,Language,Vision,Video","Language modeling/generation,Visual question answering,Video description,Speech recognition (ASR),Quantitative reasoning,Code generation,Translation,Question answering,Character recognition (OCR)",424000000000,4.04989392454e+24,1.48e+13,11.6273658566,24.6074436483,13.1702617154,strict_observed,mice_pmm,mice_pmm,0,1,1,1,0,0,0,1,1,0,1,0,0,1
EXAONE Deep 32B,2025-03-16,2025,LG AI Research,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",32000000000,1.26e+24,12000000000,10.5051499783,24.1003705451,10.079181246,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,0,0
o1-pro,2025-03-19,2025,OpenAI,"Language,Mathematics,Multimodal","Code generation,Language modeling/generation,Quantitative reasoning,Chat,Question answering,Translation,Mathematical reasoning",189736659610,3.87021411036e+24,3.54964786986e+12,11.2781512504,24.587734992,12.5501852726,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,1,1,1,0,0,0,0,1
DeepSeek-V3 (Mar 2025),2025-03-24,2025,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",671000000000,3.3e+24,1.48e+13,11.8267225202,24.5185139399,13.1702617154,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Gemini 2.5 Pro (Mar 2025),2025-03-25,2025,Google DeepMind,"Language,Vision,Video,Multimodal,Speech","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Video description,Speech recognition (ASR)",25298221281.3,3.41438559627e+24,2.5392912397e+12,10.403089987,24.5333125657,12.4047125144,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,1,0,0,0,0,1
GPT-4o (Mar 2025),2025-03-27,2025,OpenAI,"Multimodal,Language,Audio,Speech,Vision","Chat,Image generation,Audio generation,Vision-language generation,Table tasks,Language modeling/generation,Question answering,Speech recognition (ASR),Speech-to-text",529567417804,2.1e+25,6.5878676368e+12,11.7239212568,25.3222192947,12.8187448648,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,1,0,1,0,0,0,1,1
Llama 4 Behemoth (preview),2025-04-05,2025,Meta AI,"Multimodal,Language,Vision","Chat,Code generation,Visual question answering,Translation,Language modeling/generation,Quantitative reasoning,Question answering",2e+12,5.184e+25,3e+13,12.3010299957,25.7146649929,13.4771212547,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,1,1,1,0,0,0,1,0
Llama 4 Maverick,2025-04-05,2025,Meta AI,"Multimodal,Language,Vision","Chat,Code generation,Visual question answering,Language modeling/generation,Question answering",400000000000,2.244e+24,3e+13,11.6020599913,24.3510228526,13.4771212547,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Llama 4 Scout,2025-04-05,2025,Meta AI,"Multimodal,Language,Vision","Chat,Code generation,Visual question answering,Language modeling/generation,Question answering",109000000000,4.08e+24,3e+13,11.0374264979,24.6106601631,13.4771212547,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Pangu Ultra,2025-04-10,2025,Huawei,Language,"Code generation,Language modeling/generation",135000000000,1.0692e+25,1.32e+13,11.1303337685,25.0290589501,13.1205739312,strict_observed,epoch_source_estimate,strict_observed,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Qwen3-235B-A22B,2025-04-29,2025,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",235000000000,4.752e+24,3.6e+13,11.3710678623,24.676876432,13.5563025008,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Gemini 2.5 Pro (May 2025),2025-05-06,2025,Google DeepMind,"Language,Vision,Video,Multimodal,Speech","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Video description,Speech recognition (ASR)",32984845004.9,5.59642743185e+24,2.04939015319e+12,10.5183144477,24.7479108767,12.3116246452,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,1,0,0,0,0,1
Seed1.5-VL,2025-05-11,2025,ByteDance,"Vision,Language,Multimodal,Video","Visual question answering,Video description,Language modeling/generation,Question answering,Character recognition (OCR)",118211674550,1.388556e+24,3e+12,11.0726603695,24.1425633994,12.4771212547,mice_pmm,strict_observed,strict_observed,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Claude Opus 4,2025-05-22,2025,Anthropic,"Language,Multimodal,Vision","Code generation,Language modeling/generation,Quantitative reasoning,Search,Visual question answering,Translation,Image captioning,Instruction interpretation,Mathematical reasoning,Visual puzzles,Code autocompletion,Chat,Character recognition (OCR),Language modeling,Language generation,Text autocompletion,Retrieval-augmented generation,System control",602141885273,2.13401030925e+24,2.12861457291e+13,11.779698838,24.3291965131,13.3280970311,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,1,0,1,1,1,0,0,0,0,1
Claude Sonnet 4,2025-05-22,2025,Anthropic,"Language,Multimodal,Vision","Code generation,Language modeling/generation,Quantitative reasoning,Search,Visual question answering,Translation,Image captioning,Instruction interpretation,Mathematical reasoning,Visual puzzles,Code autocompletion,Chat,Character recognition (OCR),Language modeling,Language generation,Text autocompletion,Retrieval-augmented generation,System control",602141885273,2.11962260792e+24,1.39771241677e+13,11.779698838,24.3262585431,13.1454178233,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,1,0,1,1,1,0,0,0,0,1
DeepSeek-R1 (May 2025),2025-05-28,2025,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",671000000000,4.02001e+24,1.48e+13,11.8267225202,24.6042271334,13.1702617154,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Gemini 2.5 Pro (Jun 2025),2025-06-05,2025,Google DeepMind,"Language,Vision,Video,Multimodal,Speech","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Video description,Speech recognition (ASR)",62048368230,3.42271821802e+24,3.1e+12,10.7927303648,24.5343711465,12.4913616938,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,1,0,0,0,0,1
Seed-1.6-Thinking,2025-06-11,2025,ByteDance,"Multimodal,Language,Vision","Language modeling/generation,Vision-language generation",230000000000,3.75100453212e+24,6.37965516309e+12,11.361727836,24.5741475889,12.8047972046,strict_observed,mice_pmm,mice_pmm,0,1,1,0,0,0,0,0,1,0,0,0,0,1
Grok 4,2025-07-09,2025,xAI,"Language,Multimodal,Vision","Language modeling/generation,Question answering,Search,Visual question answering,Character recognition (OCR),Image captioning,Quantitative reasoning",3e+12,5e+26,1.98997487421e+13,12.4771212547,26.6989700043,13.298847593,epoch_source_estimate,epoch_source_estimate,mice_pmm,0,0,1,1,0,0,0,0,1,0,0,0,1,1
Grok 4 Heavy,2025-07-10,2025,xAI,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation",549909083395,3.97155888789e+24,817312669668,11.7402908934,24.5989610064,11.9123882312,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,0,0,0,0,0,1
Kimi K2,2025-07-11,2025,Moonshot,Language,"Language modeling/generation,Code generation,Question answering,Quantitative reasoning,Search,Table tasks",1e+12,2.976e+24,1.55e+13,12,24.4736329269,13.1903316982,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,0,0
EXAONE 4.0 (32B),2025-07-15,2025,LG AI Research,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Translation",32000000000,2.69e+24,1.4e+13,10.5051499783,24.42975228,13.1461280357,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Qwen3-Coder-480B-A35B,2025-07-22,2025,Alibaba,Language,"Language modeling/generation,Question answering,Code generation,System control",480000000000,1.575e+24,7.5e+12,11.6812412374,24.1972805581,12.8750612634,strict_observed,strict_observed,strict_observed,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Qwen3-235B-A22B (Jul 2025),2025-07-25,2025,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",235000000000,4.752e+24,3.6e+13,11.3710678623,24.676876432,13.5563025008,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Qwen3-235B-A22B-Thinking (Jul 2025),2025-07-25,2025,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Quantitative reasoning,Code generation,Translation",235000000000,4.752e+24,3.6e+13,11.3710678623,24.676876432,13.5563025008,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Gemini 2.5 Deep Think,2025-08-01,2025,"Google,Google DeepMind","Language,Multimodal,Vision,Video,Audio,Mathematics","Language modeling/generation,Mathematical reasoning,Code generation,Visual question answering,Question answering,Visual puzzles,Video description,Speech recognition (ASR),Speech-to-text",72349153415.9,3.80473389345e+24,1.1e+13,10.8594334536,24.5803242872,13.0413926852,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,0,0,0,1,1,0,0,0,0,1
MindLink-72B,2025-08-01,2025,Kunlun Inc.,Language,"Code generation,Mathematical reasoning",72000000000,5.16540414682e+23,284954841292,10.8573324964,23.7131043069,11.4547760399,strict_observed,mice_pmm,mice_pmm,0,1,1,1,0,0,0,1,0,0,-1,0,0,1
Claude Opus 4.1,2025-08-05,2025,Anthropic,"Language,Multimodal,Vision","Language modeling/generation,Question answering,System control,Code generation,Search,Quantitative reasoning,Mathematical reasoning,Visual question answering",412310562562,2.78165418411e+24,7.4e+12,11.6152244607,24.4443031374,12.8692317197,mice_pmm,mice_pmm,mice_pmm,1,1,1,1,1,0,0,1,1,0,0,0,0,1
GLM-4.5,2025-08-05,2025,"Z.ai (Zhipu AI),Tsinghua University",Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",355000000000,4.42e+24,2.31e+13,11.5502283531,24.6454222693,13.3636119799,strict_observed,strict_observed,strict_observed,0,0,0,1,0,0,0,1,0,0,1,0,0,0
gpt-oss-120b,2025-08-05,2025,OpenAI,Language,"Language modeling/generation,Question answering",116830000000,4.94e+24,6.74536878162e+12,11.0675543767,24.6937269489,12.8290056983,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,0,0,0,0,1,0,0,1
gpt-oss-20b,2025-08-05,2025,OpenAI,Language,"Language modeling/generation,Question answering",20910000000,5.49e+23,774596669241,10.3203540328,23.7395723445,11.8890756252,strict_observed,strict_observed,mice_pmm,0,0,1,0,0,0,0,0,0,0,1,0,0,1
GPT-5,2025-08-07,2025,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",535149978978,6.6e+25,9.13783344125e+12,11.7284755127,25.8195439355,12.9608432377,mice_pmm,epoch_source_estimate,mice_pmm,1,0,1,0,0,0,0,0,1,0,0,0,0,1
GPT-5 mini,2025-08-07,2025,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",122995934892,1.6786869869e+24,1e+12,11.0898907579,24.2249697238,12,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
GPT-5 nano,2025-08-07,2025,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",72349153415.9,3.39852909359e+24,1.4e+12,10.8594334536,24.5312909921,12.1461280357,mice_pmm,mice_pmm,mice_pmm,1,1,1,0,0,0,0,0,1,0,0,0,0,1
LongCat-Flash,2025-09-01,2025,Meituan Inc,Language,"Language modeling/generation,Question answering,Chat,Code generation,Quantitative reasoning,Instruction interpretation",560000000000,3.726e+24,2.3e+13,11.748188027,24.5712428506,13.361727836,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,1,1,0,0,1,0,0,0
Qwen3-Max,2025-09-05,2025,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Code generation,Quantitative reasoning,Retrieval-augmented generation,Translation",1e+12,1.512e+25,3.6e+13,12,25.1795517912,13.5563025008,epoch_source_estimate,epoch_source_estimate,epoch_source_estimate,0,0,0,1,0,0,0,1,0,0,0,0,0,0
AgentFounder-30B,2025-09-16,2025,Alibaba,Language,"Language modeling/generation,Question answering,System control,Quantitative reasoning,Mathematical reasoning,Code generation,Search",30000000000,6.5367e+23,315000000000,10.4771212547,23.8153585536,11.4983105538,strict_observed,strict_observed,strict_observed,0,0,0,1,1,0,0,1,0,0,1,0,0,0
